osm_id,osm_highway,osm_name,osm_access,osm_bicycle,osm_oneway,osm_oneway_bicycle,osm_maxspeed,osm_lanes,osm_lanes_forward,osm_lanes_backward,osm_cycleway,osm_cycleway_left,osm_cycleway_left_buffer,osm_cycleway_left_oneway,osm_cycleway_left_width,osm_cycleway_right,osm_cycleway_right_buffer,osm_cycleway_right_oneway,osm_cycleway_right_width,osm_cycleway_both,osm_cycleway_both_buffer,osm_cycleway_both_width,osm_cycleway_buffer,osm_cycleway_width,osm_parking_left,osm_parking_right,osm_parking_both,osm_parking_lane_left,osm_parking_lane_right,osm_parking_lane_both,osm_parking_left_restriction,osm_parking_right_restriction,osm_parking_both_restriction,osm_tracktype,osm_turn_lanes,osm_turn_lanes_forward,osm_turn_lanes_backward,osm_width,osm_footway,dc_blockkey,dc_ROUTEID,dc_ROUTENAME,dc_ROADTYPE,dc_STREETNAME,dc_STREETTYPE,dc_DCFUNCTIONALCLASS,dc_FHWAFUNCTIONALCLASS,dc_TOTALTRAVELLANES,dc_TOTALTRAVELLANESINBOUND,dc_TOTALTRAVELLANESOUTBOUND,dc_TOTALTRAVELLANESBIDIRECTIONAL,dc_TOTALTRAVELLANESREVERSIBLE,dc_TOTALTRAVELLANEWIDTH,dc_TOTALCROSSSECTIONWIDTH,dc_SUMMARYDIRECTION,dc_TOTALPARKINGLANES,dc_TOTALPARKINGLANEWIDTH,dc_TOTALRAISEDBUFFERS,dc_TOTALRAISEDBUFFERWIDTH,dc_BIKELANE_CONVENTIONAL,dc_BIKELANE_BUFFERED,dc_BIKELANE_PROTECTED,dc_BIKELANE_DUAL_PROTECTED,dc_BIKELANE_DUAL_BUFFERED,dc_BIKELANE_PARKINGLANE_ADJACENT,dc_BIKELANE_THROUGHLANE_ADJACENT,dc_BIKELANE_POCKETLANE_ADJACENT,dc_BIKELANE_CONTRAFLOW,dc_TOTALBIKELANES,dc_TOTALBIKELANEWIDTH,dc_SPEEDLIMITS_OB,dc_SPEEDLIMITS_IB,dc_SPEEDLIMITS_OB_ALT,dc_SPEEDLIMITS_IB_ALT,dc_DOUBLEYELLOW_LINE,dc_SLOWSTREETINFO,dc_SPEEDHUMP_PRESENT,dc_SURFACE_TYPE,dc_PCI_CONDCATEGORY,dc_PCI_SCORE,dc_PCI_LASTINSPECTED,dc_SIDEWALK_IB_PAVTYPE,dc_SIDEWALK_IB_WIDTH,dc_SIDEWALK_OB_PAVTYPE,dc_SIDEWALK_OB_WIDTH,dc_LEFTTURN_CURBLANE_EXCL,dc_LEFTTURN_CURBLANE_EXCL_LEN,dc_RIGHTTURN_CURBLANE_EXCL,dc_RIGHTTURN_CURBLANE_EXCL_LEN,dc_LEFTTURN_EXCLUSIVE,dc_RIGHTTURN_EXCLUSIVE,dc_BUSLANE_INBOUND,dc_BUSLANE_OUTBOUND,dc_AADT,dc_AADT_YEAR,match_confidence,geometry_wkt
6061379,residential,Seaton Place Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaa71ac7f65d619a23c6e284ab835fcb,11078912,SEATON PL NW,1.0,SEATON,PL,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Excellent,90.0,2023-02-16 05:00:00+00:00,12 (Brick),10,12 (Brick),10,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.009254 38.914821, -77.009651 38.914822)"
6061379,residential,Seaton Place Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaa71ac7f65d619a23c6e284ab835fcb,11078912,SEATON PL NW,1.0,SEATON,PL,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Excellent,90.0,2023-02-16 05:00:00+00:00,12 (Brick),10,12 (Brick),10,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.009651 38.914822, -77.009749 38.914822, -77.010556 38.914822, -77.010562 38.914822, -77.011427 38.914826, -77.011634 38.914827)"
6061379,residential,Seaton Place Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaa71ac7f65d619a23c6e284ab835fcb,11078912,SEATON PL NW,1.0,SEATON,PL,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Excellent,90.0,2023-02-16 05:00:00+00:00,12 (Brick),10,12 (Brick),10,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.011634 38.914827, -77.011747 38.914826, -77.012064 38.914826)"
6061379,residential,Seaton Place Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaa71ac7f65d619a23c6e284ab835fcb,11078912,SEATON PL NW,1.0,SEATON,PL,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Excellent,90.0,2023-02-16 05:00:00+00:00,12 (Brick),10,12 (Brick),10,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.012064 38.914826, -77.012155 38.914826)"
6061386,residential,8th Street Northwest,,,,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fbcf4fc36682490bb05976d879288e46,11000802,8TH ST NW,1.0,8TH,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,,Excellent,92.0,2023-02-03 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.022937 38.909719, -77.022941 38.910191, -77.022946 38.911059)"
6061365,residential,Belmont Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ff382aa95ca8c624199d315f7844d6e,11015012,BELMONT ST NW,1.0,BELMONT,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Excellent,100.0,2023-02-01 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.030103 38.921083, -77.03032 38.921083)"
6061365,residential,Belmont Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ff382aa95ca8c624199d315f7844d6e,11015012,BELMONT ST NW,1.0,BELMONT,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Excellent,100.0,2023-02-01 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.03032 38.921083, -77.030352 38.921083, -77.030916 38.921087, -77.031252 38.921087)"
6061365,residential,Belmont Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ff382aa95ca8c624199d315f7844d6e,11015012,BELMONT ST NW,1.0,BELMONT,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Excellent,100.0,2023-02-01 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.031252 38.921087, -77.031279 38.921087)"
6061365,residential,Belmont Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ff382aa95ca8c624199d315f7844d6e,11015012,BELMONT ST NW,1.0,BELMONT,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Excellent,100.0,2023-02-01 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.031279 38.921087, -77.031719 38.921087, -77.031743 38.921087)"
6061365,residential,Belmont Street Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ff382aa95ca8c624199d315f7844d6e,11015012,BELMONT ST NW,1.0,BELMONT,ST,19.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,32.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,0.0,Excellent,100.0,2023-02-01 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,,,1.0,"LINESTRING (-77.031743 38.921087, -77.031873 38.921086)"
